tagId,timestamp,coordinates_x,coordinates_y
28261,1548053250.97,5903,2808
27005,1548053250.99,3333,709
28261,1548053251.01,5909,2836
27005,1548053251.04,3334,712
28261,1548053251.06,5924,2857
27005,1548053251.08,3336,717
28261,1548053251.10,5960,2859
27005,1548053251.12,3338,720
28261,1548053251.14,5997,2861
27005,1548053251.16,3339,720
28261,1548053251.18,6018,2894
27005,1548053251.20,3339,721
28261,1548053251.22,6036,2927
27005,1548053251.25,3339,721
28261,1548053251.27,6043,2936
27005,1548053251.29,3339,723
28261,1548053251.31,6055,2963
27005,1548053251.35,3339,725
28261,1548053251.37,6189,2985
27005,1548053251.39,3339,725
28261,1548053251.41,6343,2987
27005,1548053251.43,3339,725
28261,1548053251.45,6380,3011
27005,1548053251.47,3339,727
28261,1548053251.49,6399,3037
27005,1548053251.51,3339,727
28261,1548053251.53,6414,3054
27005,1548053251.55,3339,729
28261,1548053251.57,6420,3074
27005,1548053251.59,3340,729
28261,1548053251.61,6424,3084
27005,1548053251.63,3341,730
28261,1548053251.65,6448,3089
27005,1548053251.67,3343,732
28261,1548053251.70,6456,3089
27005,1548053251.72,3343,732
28261,1548053251.74,6456,3089
27005,1548053251.76,3341,732
28261,1548053251.78,6484,3095
27005,1548053251.80,3341,732
28261,1548053251.82,6498,3098
27005,1548053251.84,3341,732
28261,1548053251.86,6498,3098
27005,1548053251.88,3341,732
28261,1548053251.90,6500,3103
27005,1548053251.92,3341,734
28261,1548053251.94,6500,3106
27005,1548053251.96,3341,734
28261,1548053251.98,6506,3106
27005,1548053252.00,3341,737
28261,1548053252.02,6512,3108
27005,1548053252.04,3343,737
28261,1548053252.12,6514,3110
27005,1548053252.14,3343,737
28261,1548053252.16,6516,3111
27005,1548053252.18,3343,737
28261,1548053252.21,6521,3114
27005,1548053252.23,3343,737
28261,1548053252.25,6539,3119
27005,1548053252.27,3343,734
28261,1548053252.29,6553,3114
27005,1548053252.31,3343,737
28261,1548053252.33,6565,3111
27005,1548053252.35,3342,734
28261,1548053252.37,6578,3110
27005,1548053252.40,3340,735
28261,1548053252.42,6580,3110
27005,1548053252.44,3340,731
28261,1548053252.46,6586,3108
27005,1548053252.48,3339,732
28261,1548053252.50,6586,3106
27005,1548053252.52,3339,732
28261,1548053252.55,6599,3106
27005,1548053252.57,3338,732
28261,1548053252.60,6607,3103
27005,1548053252.62,3339,732
28261,1548053252.64,6607,3098
27005,1548053252.66,3339,732
28261,1548053252.68,6607,3095
27005,1548053252.70,3339,732
28261,1548053252.72,6607,3095
27005,1548053252.74,3339,732
28261,1548053252.76,6607,3095
27005,1548053252.78,3339,735
28261,1548053252.80,6607,3085
27005,1548053252.82,3339,738
28261,1548053252.85,6607,3078
27005,1548053252.87,3339,736
28261,1548053252.89,6593,3076
27005,1548053252.91,3339,734
28261,1548053252.93,6640,3068
27005,1548053252.95,3338,732
28261,1548053252.97,6676,3059
27005,1548053252.99,3337,731
28261,1548053253.01,6676,3042
27005,1548053253.03,3337,731
28261,1548053253.05,6676,3034
27005,1548053253.07,3336,731
28261,1548053253.10,6676,2995
27005,1548053253.12,3336,728
28261,1548053253.14,6676,2925
27005,1548053253.16,3336,728
28261,1548053253.18,6676,2869
27005,1548053253.20,3336,731
28261,1548053253.22,6676,2855
27005,1548053253.24,3336,728
28261,1548053253.26,6676,2804
27005,1548053253.28,3336,731
28261,1548053253.31,6676,2764
27005,1548053253.33,3336,729
28261,1548053253.35,6676,2740
27005,1548053253.37,3336,729
28261,1548053253.39,6635,2701
27005,1548053253.41,3335,727
28261,1548053253.43,6591,2682
27005,1548053253.45,3335,729
28261,1548053253.47,6576,2676
27005,1548053253.49,3333,730
28261,1548053253.51,6553,2668
27005,1548053253.53,3333,732
28261,1548053253.55,6499,2663
27005,1548053253.57,3333,732
28261,1548053253.59,6459,2656
27005,1548053253.61,3331,732
28261,1548053253.63,6443,2634
27005,1548053253.66,3331,732
28261,1548053253.68,6419,2598
27005,1548053253.70,3333,733
28261,1548053253.72,6404,2575
27005,1548053253.74,3335,733
28261,1548053253.76,6396,2565
27005,1548053253.78,3335,733
28261,1548053253.80,6378,2556
27005,1548053253.82,3336,734
28261,1548053253.84,6354,2525
27005,1548053253.86,3335,734
28261,1548053253.88,6322,2492
27005,1548053253.90,3333,734
28261,1548053253.92,6298,2488
27005,1548053253.95,3333,737
28261,1548053253.96,6285,2487
27005,1548053253.98,3333,737
28261,1548053254.00,6248,2474
27005,1548053254.02,3333,734
28261,1548053254.05,6217,2458
27005,1548053254.07,3331,733
28261,1548053254.09,6202,2450
27005,1548053254.11,3331,733
28261,1548053254.13,6189,2450
27005,1548053254.15,3331,733
28261,1548053254.17,6185,2450
27005,1548053254.19,3333,733
28261,1548053254.21,6169,2450
27005,1548053254.23,3333,733
28261,1548053254.25,6147,2441
27005,1548053254.27,3333,733
28261,1548053254.29,6114,2435
27005,1548053254.32,3333,738
28261,1548053254.34,6073,2435
27005,1548053254.36,3333,738
28261,1548053254.38,6053,2435
27005,1548053254.40,3333,739
28261,1548053254.42,6013,2435
27005,1548053254.45,3333,733
28261,1548053254.47,5963,2435
27005,1548053254.49,3333,739
28261,1548053254.51,5944,2435
27005,1548053254.53,3333,733
28261,1548053254.55,5888,2445
27005,1548053254.57,3333,739
28261,1548053254.59,5789,2454
27005,1548053254.61,3335,746
28261,1548053254.63,5722,2458
27005,1548053254.65,3337,746
28261,1548053254.67,5679,2465
27005,1548053254.70,3337,746
28261,1548053254.72,5646,2469
27005,1548053254.74,3338,748
28261,1548053254.76,5620,2478
27005,1548053254.78,3338,746
28261,1548053254.80,5586,2487
27005,1548053254.82,3338,739
28261,1548053254.84,5568,2488
27005,1548053254.87,3338,739
28261,1548053254.89,5565,2492
27005,1548053254.91,3338,734
28261,1548053254.93,5549,2509
27005,1548053254.95,3336,733
28261,1548053254.98,5533,2547
27005,1548053255.00,3336,733
28261,1548053255.02,5528,2583
27005,1548053255.05,3335,733
28261,1548053255.07,5528,2599
27005,1548053255.09,3335,730
28261,1548053255.11,5528,2617
27005,1548053255.13,3337,730
28261,1548053255.15,5528,2629
27005,1548053255.17,3338,733
28261,1548053255.19,5528,2651
27005,1548053255.21,3338,733
28261,1548053255.23,5528,2713
27005,1548053255.26,3340,730
28261,1548053255.28,5528,2758
27005,1548053255.30,3340,727
28261,1548053255.32,5528,2770
27005,1548053255.34,3341,730
28261,1548053255.36,5528,2815
